archlinux-xdg-menu 0.7.7-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
blueberry 1.4.8-2
bluez-utils 5.87-2
brave-bin 1:1.93.136-1
breeze 6.7.4-1
btop 1.4.7-1
btrfs-progs 7.1-1
cups 2:2.4.19-1
cups-pk-helper 0.2.7-2
discord 1:1.0.154-1
dkms 3.4.2-1
dolphin 26.04.3-1
dunst 1.13.2-2
efibootmgr 18-4
fastfetch 2.67.1-1
faugus-launcher 2.1.0-1
fuzzel 1.14.1-2
gamescope 3.16.25-1
ghostscript 10.07.1-1
gimp 3.2.4-2
git 2.55.0-1
gnome-themes-extra 1:3.28-1
godot 4.7.2-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.8-1
heroic-games-launcher-bin 2.22.1-1
htop 3.5.3-1
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprlock 0.9.6-2
hyprpaper 0.8.4-6
hyprshot 1.3.0-4
intel-ucode 20260812-1
iris-colors 0.1.1-1
jq 1.8.2-1
kdenlive 26.04.3-2
kitty 0.48.2-1
libreoffice-fresh 26.2.5-1
libva-nvidia-driver 0.0.17-1
limine 12.5.2-1
limine-entry-tool 1.37.1-1
linux 7.1.8.arch1-3
linux-firmware 20260810-2
linux-headers 7.1.8.arch1-3
linux-zen 7.1.8.zen1-3
linux-zen-headers 7.1.8.zen1-3
lutris 0.5.22-2
lvm2 2.03.42-1
ly 1.4.1-1
man-db 2.13.1-2
man-pages 6.18-1
mkinitcpio 41.1-1
mpv 1:0.41.0-4
nano 9.2-1
neovim 0.12.4-1
networkmanager 1.58.0-1
nm-connection-editor 1.36.0-2
nvidia-open-dkms 610.57.04-1
nvidia-settings 610.57.04-1
obs-studio 32.2.2-1
openrazer-daemon 3.12.4-1
openrazer-driver-dkms 3.12.4-1
pavucontrol 1:6.2-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
polkit-kde-agent 6.7.4-1
polychromatic 0.9.8-1
power-profiles-daemon 0.30-1
python-openrazer 3.12.4-1
qalculate-gtk 5.12.0-1
qt5-wayland 5.15.19+kde+r55-1
qt6ct-kde 0.11-8
qt6-wayland 6.11.1-1
quickshell 0.3.0-2
reflector 2023-5
rustup 1.29.0-2
slurp 1.5.0-2
smartmontools 7.5-1
snap-pac 3.0.1-3
snapper 0.13.1-2
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
steam 1.0.0.87-1
sudo 1.9.17.p2-6
system-config-printer 1.5.18-6
tree 2.3.2-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-nerd-fonts-symbols 3.4.0-1
uwsm 0.26.6-1
vim 9.2.0849-1
vscodium-bin 1.126.04524-1
wget 1.25.0-6
wireplumber 0.5.15-1
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-utils 1.2.1-2
yay 13.0.1-1
yay-debug 13.0.1-1
yazi 26.5.6-4
zip 3.0-14
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
