7zip 26.02-1
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
aom 3.14.1-1
appstream 1.1.6-1
aquamarine 0.14.0-2
archlinux-keyring 20260727-1
archlinux-xdg-menu 0.7.7-1
argon2 20190702-6
at-spi2-core 2.60.6-1
attica 6.29.0-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
babl 0.1.128-1
baloo 6.29.0-2
baloo-widgets 26.04.3-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bc 1.08.2-1
binutils 2.47-4
bison 3.8.2-8
blas 3.12.1-2
blueberry 1.4.8-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-tools 0.2.0-6
bluez-utils 5.87-2
boost-libs 1.91.0-2
brave-bin 1:1.93.136-1
breeze 6.7.4-1
breeze-cursors 6.7.4-1
breeze-icons 6.29.0-1
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
cabextract 1.11-3
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
c-ares 1.34.8-1
cblas 3.12.1-2
cdparanoia 10.2-10
cifs-utils 7.5-1
clang 22.1.8-1
clucene 2.3.3.4-17
compiler-rt 22.1.8-1
convertlit 1.8-13
coreutils 9.11-2
cpio 2.15-3
cpptrace 1.0.4-2
cryptsetup 2.8.7-1
cups 2:2.4.19-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
curl 8.21.0-1
curl-impersonate 2.1.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
discord 1:1.0.154-1
dkms 3.4.2-1
docbook-xml 4.5-11
